x,y,w,h,Distance Bottom,Distance Top,area,Target Class
53,29,86,18,1.0,28.0,845.5,LD
133,7,72,54,15.0,8.0,1499.0,LD
0,0,49,93,47.0,47.0,1162.0,LD
48,65,9,8,28.0,37.0,38.0,LD
82,42,43,10,7.0,35.0,231.0,LD
0,37,51,53,45.0,8.0,1074.5,LD
151,0,55,64,19.0,19.0,802.5,LD
0,21,5,7,3.0,18.0,17.0,LD
14,0,47,51,26.0,26.0,482.5,LD
173,28,32,12,5.0,23.0,222.5,LD
260,22,38,16,3.0,19.0,312.5,LD
67,22,82,45,32.0,10.0,1432.5,LD
0,14,59,57,36.0,22.0,1869.0,LD
184,12,7,7,16.0,28.0,22.0,LD
208,0,48,68,33.0,33.0,1135.0,LD
50,45,47,19,10.0,35.0,385.5,LD
160,31,37,13,10.0,41.0,261.0,LD
266,24,40,13,17.0,41.0,299.0,LD
108,19,32,52,17.0,2.0,853.0,LD
0,16,56,92,54.0,38.0,1458.0,LD
202,6,52,97,49.0,43.0,1391.5,LD
328,0,18,54,0.0,0.0,480.5,LD
64,65,32,17,41.0,24.0,274.0,LD
328,57,18,18,34.0,23.0,154.5,LD
156,39,43,14,12.0,27.0,278.0,LD
104,28,35,54,41.0,13.0,596.5,LD
275,25,42,14,2.0,27.0,275.0,LD
0,16,58,67,42.0,26.0,1126.0,LD
318,7,69,44,10.0,3.0,1272.5,LD
195,0,59,65,24.0,24.0,1816.0,LD
24,0,10,7,34.0,34.0,38.5,LD
170,108,46,7,58.0,50.0,86.5,LD
64,38,23,10,9.0,47.0,157.0,LD
146,20,38,13,24.0,44.0,236.0,LD
179,9,49,48,0.0,9.0,745.5,LD
88,1,50,73,17.0,16.0,972.0,LD
0,0,65,115,58.0,58.0,3637.5,LD
60,36,35,9,12.0,24.0,179.5,LD
0,9,38,57,33.0,24.0,971.5,LD
116,0,40,58,25.0,25.0,628.0,LD
37,42,65,22,14.0,28.0,704.5,LD
0,10,14,91,51.0,41.0,872.0,LD
119,0,52,85,35.0,35.0,2135.5,LD
0,0,49,45,23.0,23.0,843.5,LD
0,57,35,28,36.0,21.0,193.5,LD
67,56,12,5,12.0,44.0,25.0,LD
217,55,31,44,50.0,5.0,257.5,LD
196,55,11,8,14.0,41.0,43.0,LD
237,15,25,35,1.0,14.0,181.0,LD
19,15,17,38,4.0,11.0,152.0,LD
51,12,19,40,3.0,9.0,121.5,LD
75,7,11,45,3.0,4.0,205.5,LD
224,1,13,49,1.0,0.0,212.0,LD
120,0,82,52,3.0,3.0,1062.0,LD
104,5,83,85,42.0,37.0,1251.0,LD
67,5,29,85,42.0,37.0,414.5,LD
14,96,15,3,44.0,52.0,15.0,LD
144,95,12,15,55.0,40.0,50.5,LD
0,33,54,60,38.0,5.0,533.0,LD
183,28,32,62,35.0,7.0,699.5,LD
243,26,58,62,33.0,7.0,937.0,LD
141,3,40,4,48.0,51.0,51.5,LD
73,1,45,91,37.0,36.0,642.5,LD
120,0,50,91,36.0,36.0,557.0,LD
74,70,23,3,34.0,36.0,22.0,LD
51,51,9,11,23.0,28.0,29.5,LD
7,7,46,56,24.0,17.0,381.0,LD
126,6,93,68,35.0,29.0,1065.0,LD
90,5,11,16,18.0,23.0,36.5,LD
87,2,38,73,36.0,34.0,306.5,LD
50,0,23,78,39.0,39.0,354.5,LD
140,119,14,13,66.0,53.0,39.0,LD
155,114,18,18,66.0,48.0,84.0,LD
168,103,9,10,47.0,56.0,40.0,LD
47,79,5,7,20.0,59.0,11.5,LD
140,73,8,10,17.0,56.0,17.5,LD
0,72,179,32,38.0,34.0,491.5,LD
98,66,5,25,25.0,41.0,29.5,LD
49,66,4,6,6.0,60.0,11.0,LD
138,60,7,11,5.0,55.0,22.0,LD
167,50,9,21,5.0,45.0,110.5,LD
140,46,8,13,7.0,53.0,34.5,LD
149,42,14,7,17.0,59.0,36.5,LD
45,26,9,33,7.0,33.0,74.5,LD
99,15,8,8,43.0,58.0,22.0,LD
46,15,6,9,42.0,57.0,23.5,LD
44,9,8,4,53.0,62.0,13.0,LD
0,0,23,8,58.0,58.0,46.0,LD
170,67,8,20,34.0,33.0,28.0,LD
115,62,11,34,43.0,19.0,118.5,LD
124,43,71,63,53.0,10.0,403.5,LD
175,42,22,41,30.0,12.0,212.5,LD
18,8,40,88,43.0,35.0,462.0,LD
27,0,58,9,44.0,44.0,129.0,LD
49,114,7,6,58.0,56.0,12.5,LD
34,110,11,11,59.0,51.0,37.0,LD
121,102,16,15,55.0,47.0,59.0,LD
73,102,20,13,53.0,49.0,46.0,LD
31,102,6,7,47.0,55.0,21.5,LD
0,102,5,13,53.0,49.0,36.0,LD
189,101,34,24,63.0,38.0,156.0,LD
106,91,31,10,39.0,52.0,46.5,LD
66,79,11,19,36.0,43.0,50.5,LD
28,60,42,38,36.0,24.0,274.0,LD
187,51,26,47,36.0,15.0,359.5,LD
0,32,6,66,36.0,4.0,255.5,LD
119,12,62,108,58.0,46.0,776.0,LD
0,12,5,19,31.0,43.0,53.0,LD
0,0,10,9,53.0,53.0,40.0,LD
14,104,10,5,47.0,57.0,20.0,LD
60,103,26,7,48.0,55.0,76.5,LD
120,102,15,6,46.0,56.0,38.5,LD
201,101,40,24,63.0,38.0,189.0,LD
154,101,12,5,44.0,57.0,14.5,LD
436,97,8,6,41.0,56.0,20.0,LD
147,80,12,18,36.0,44.0,71.0,LD
429,38,24,56,32.0,6.0,263.0,LD
108,38,45,60,36.0,2.0,539.5,LD
54,32,34,67,37.0,5.0,780.5,LD
333,30,82,87,55.0,25.0,1424.0,LD
28,14,19,10,38.0,52.0,49.5,LD
0,14,40,85,37.0,23.0,581.0,LD
190,12,32,86,36.0,24.0,402.5,LD
210,11,129,109,58.0,47.0,922.5,LD
336,5,29,3,54.0,59.0,28.5,LD
