curvature,strokewidth,density,x,y,w,h,distance,letterReversal,curvature_LogValue,strokewidth_LogValue,distance_LogValue,density_LogValue,class
0.000698201,17.2626765,1.0546875,0,0,9,26,1,0,-7.267003531,2.848546743,0,0.053244515,1
0.004874691,24.4952116,1.953125,0,0,9,49,1,0,-5.323698561,3.198477654,0,0.669430654,1
0.000444327,63.16471523,3.7109375,0,0,9,94,1,0,-7.71894978,4.145745842,0,1.31128454,1
0.001809117,22.77212678,1.6796875,0,0,9,43,0,0,-6.314916398,3.125537278,#NAME?,0.518607764,1
0,49.27773017,2.8515625,0,0,9,73,0,0,#NAME?,3.897472258,#NAME?,1.04786709,1
0.008234938,30.2080074,1.5234375,0,0,9,38,1,0,-4.799369444,3.408107035,0,0.420969295,1
0.082349405,5.793491931,0.859375,0,0,9,21,1,0,-2.496784048,1.756735207,0,-0.151549898,1
0.060832942,13.29789758,1.875,0,0,9,48,0,0,-2.799623828,2.587605946,#NAME?,0.628608659,1
0.005404424,12.21983564,0.9375,0,0,9,23,1,0,-5.220537402,2.503060504,0,-0.064538521,1
0.003348248,52.08646657,2.109375,0,0,9,53,1,1,-5.699318055,3.952905156,0,0.746391695,1
0.008010939,32.53466047,1.71875,0,0,9,43,1,1,-4.826947296,3.482305997,0,0.541597282,1
0.407542463,13.06149551,0.9765625,0,0,9,24,1,1,-0.897610148,2.569668628,0,-0.023716527,1
0.003686104,33.13608305,1.3671875,0,0,9,34,1,1,-5.603185205,3.500622811,0,0.31275571,1
0.000755932,32.24903099,1.328125,0,0,9,33,1,1,-7.187559133,3.473487996,0,0.283768173,1
0,22.58883882,1.3671875,0,0,9,34,1,1,#NAME?,3.117455927,0,0.31275571,1
0.001749755,27.89265136,1.1328125,0,0,9,28,1,1,-6.348279501,3.328363262,0,0.124703479,1
0.005254628,27.48766209,1.2890625,0,0,9,32,1,1,-5.248646067,3.313737253,0,0.25391521,1
0.006663652,50.48762225,2.03125,0,0,9,51,1,1,-5.011087596,3.921728202,0,0.708651367,1
