curvature,strokewidth,density,x,y,w,h,distance,letterReversal,class
0.001589364,30.41381265,1.375,0,0,10,31,1,,0
0.006912445,28.16208981,1.41796875,0,0,10,32,1,,0
0.002508989,31.984845,1.4609375,0,0,10,33,1,,0
0.269786474,15.83560639,1.4609375,0,0,10,33,1,,0
0.003754196,34.525353,1.546875,0,0,10,35,1,,0
0.006081391,31.84005624,1.546875,0,0,10,35,1,,0
0.004966094,35.22782991,1.58984375,0,0,10,36,1,,0
0.00178101,31.5730938,1.58984375,0,0,10,36,1,,0
0.009260435,37.21558813,1.67578125,0,0,10,38,1,,0
0.002116435,38.63935817,1.71875,0,0,10,39,1,,0
0.010664205,39.44749683,1.8046875,0,0,10,41,1,,0
0.272351164,20.2632779,1.8046875,0,0,10,41,1,,0
0,36.22428793,1.84765625,0,0,10,42,1,,0
0.007464508,45.85099563,2.0625,0,0,10,48,0,,0
0.002602945,24.13976286,2.0625,0,0,10,47,1,,0
0.013445738,53.23532662,2.36328125,0,0,10,54,1,,0
0,53.73412805,2.4921875,0,0,10,58,0,,0
0.033858312,30.52772049,3.1796875,0,0,10,73,1,,0
0.000703964,42.07433897,3.6953125,0,0,10,85,1,,0
0.002525062,88.85180169,3.99609375,0,0,10,92,1,,0
0.003525649,15.8113883,0.796875,0,0,11,16,1,0,1
0.003112146,35.44480401,2.765625,0,0,11,58,1,0,1
0.001024836,43.86561818,2.203125,0,0,11,46,1,0,1
0.070710168,16.37334915,1.640625,0,0,11,34,1,0,1
0.004916226,18.02775638,0.890625,0,0,11,18,1,0,1
0.004532973,11.41366413,0.984375,0,0,11,20,1,0,1
0.001317837,35.43409843,2.625,0,0,11,55,1,0,1
0.000990644,47.6053749,2.4375,0,0,11,51,1,0,1
0.051764629,12.39758569,1.03125,0,0,11,21,1,0,1
0.006562303,18.38477631,0.890625,0,0,11,18,1,0,1
0.008691253,17.72004515,0.890625,0,0,11,18,1,0,1
0.002831614,19.10497317,0.984375,0,0,11,20,1,0,1
0.00047683,25.63177901,1.828125,0,0,11,38,1,0,1
0.120327936,4.923318319,0.890625,0,0,11,18,1,0,1
0.074874961,13.5,0.796875,0,0,11,16,1,0,1
0.029429182,5.933039154,0.796875,0,0,11,16,1,0,1
0.005347512,19.75052561,0.984375,0,0,11,21,0,0,1
0.034282031,4.944571524,0.9375,0,0,11,20,0,0,1
0.007112474,7.941815567,0.890625,0,0,11,18,1,0,1
0.010683374,8.89373549,0.984375,0,0,11,21,0,0,1
0,5.648200871,0.84375,0,0,11,17,1,0,1
0.047921635,18.19703898,2.015625,0,0,11,42,1,0,1
0.014626478,14.30985531,1.59375,0,0,11,33,1,0,1
0.023745039,7.742640687,0.796875,0,0,11,16,1,0,1
0.114842745,13.26742456,1.59375,0,0,11,33,1,0,1
0.007798332,16.37730628,1.21875,0,0,11,25,1,0,1
0.058723226,10.5223201,0.9375,0,0,11,19,1,0,1
0.010255331,31.34645193,2.203125,0,0,11,46,1,0,1
0.020311209,19.1979807,1.03125,0,0,11,21,1,0,1
0,51.41268003,2.578125,0,0,11,55,0,0,1
0.036831761,8.462712997,1.828125,0,0,11,38,1,0,1
0.008915585,32.64386145,1.640625,0,0,11,34,1,0,1
0.001845464,38.06306247,2.109375,0,0,11,44,1,0,1
0.002040844,38.21052152,2.15625,0,0,11,46,0,0,1
0.002335597,51.0047539,3.65625,0,0,11,77,1,0,1
0.007733541,16.76305461,0.84375,0,0,11,17,1,0,1
0.012769842,18.97366596,0.9375,0,0,11,19,1,0,1
0.094851676,5.807850782,0.84375,0,0,11,17,1,0,1
0.075072334,11.75899065,0.9375,0,0,11,20,0,0,1
0.022984687,9.952045556,0.890625,0,0,11,18,1,0,1
0.000224257,63.19810124,3.046875,0,0,11,64,1,0,1
0.045228262,10.79216585,0.84375,0,0,11,17,1,0,1
0.007405763,17.89436581,0.984375,0,0,11,20,1,0,1
0.00551236,43.41658669,2.109375,0,0,11,44,1,0,1
0.00152118,18.20132429,0.9375,0,0,11,19,1,0,1
0.005063514,28.99497252,1.546875,0,0,11,32,1,0,1
0.004953389,29.92591743,1.546875,0,0,11,32,1,0,1
0.006835005,51.2445119,2.4375,0,0,11,52,0,0,1
0.370373158,32.19467815,1.6875,0,0,11,35,1,0,1
0.00326069,28.38314555,1.640625,0,0,11,34,1,0,1
0.00395664,25.96150997,1.265625,0,0,11,26,1,0,1
0.006213345,17.56458019,0.890625,0,0,11,19,0,0,1
0.000317144,21.24060316,1.640625,0,0,11,34,1,0,1
0.001035839,35.92595712,1.78125,0,0,11,37,1,0,1
0.006331022,50.53703123,2.484375,0,0,11,53,0,0,1
0.011888735,50.6359556,2.4375,0,0,11,51,1,0,1
0.002254366,77.74385615,3.75,0,0,11,80,0,0,1
0.006706097,24.70992026,1.265625,0,0,11,26,1,0,1
0.27250785,14.51419968,1.453125,0,0,11,30,1,0,1
0.003823795,17.77860641,1.5,0,0,11,32,0,0,1
0.004770631,46.09772229,2.25,0,0,11,47,1,0,1
0.006510546,32.9887874,2.0625,0,0,11,43,1,0,1
0.00320283,35.6931366,1.734375,0,0,11,36,1,0,1
0.001782439,35.90485421,2.0625,0,0,11,43,1,0,1
0.003296666,28.01176075,1.6875,0,0,11,35,1,0,1
0.00311858,19.41648784,0.984375,0,0,11,20,1,0,1
0.011460864,43.13912526,2.15625,0,0,11,45,1,0,1
0.016760188,33.95585369,1.640625,0,0,11,34,1,0,1
0.032923731,10.03409976,0.98828125,0,0,11,22,1,0,1
0.001686345,19.33045382,3.46875,0,0,11,74,0,0,1
0.002590579,24.33105012,1.21875,0,0,11,25,1,1,1
0.023361624,7.883285332,0.890625,0,0,11,18,1,1,1
0.010984601,17.49285568,0.796875,0,0,11,16,1,1,1
