x,y,w,h,distance,class
0,0,26,15,1,LD
0,0,18,12,1,LD
0,0,19,14,1,LD
0,0,25,14,1,LD
0,0,25,16,1,LD
0,0,19,12,1,LD
0,0,13,14,1,LD
0,0,17,14,1,LD
0,0,17,15,1,LD
0,0,14,19,1,LD
0,0,12,17,1,LD
0,0,60,23,1,LD
0,0,75,22,0,LD
0,0,9,21,1,LD
0,0,10,19,1,LD
0,0,21,15,1,LD
0,0,19,15,1,LD
0,0,18,15,1,LD
0,0,14,16,0,LD
0,0,15,17,1,LD
0,0,13,20,1,LD
0,0,13,22,0,LD
0,0,19,16,1,LD
0,0,17,21,1,LD
0,0,12,22,0,LD
0,0,12,15,1,LD
0,0,19,19,1,LD
0,0,14,19,1,LD
0,0,14,17,1,LD
0,0,14,23,0,LD
0,0,11,21,0,LD
0,0,12,21,1,LD
0,0,11,20,0,LD
0,0,32,17,1,LD
0,0,15,14,1,LD
0,0,10,20,1,LD
0,0,10,18,1,LD
0,0,16,22,0,LD
0,0,14,19,1,LD
0,0,11,18,1,LD
0,0,12,19,0,LD
0,0,16,18,0,LD
0,0,15,22,0,LD
0,0,27,17,0,LD
0,0,13,17,1,LD
0,0,14,17,1,LD
0,0,11,18,1,LD
0,0,12,24,1,LD
0,0,12,20,1,LD
0,0,11,21,0,LD
0,0,11,17,1,LD
0,0,14,20,0,LD
0,0,15,12,1,LD
0,0,20,12,1,LD
0,0,18,11,1,LD
0,0,14,16,1,LD
0,0,19,15,1,LD
0,0,15,15,1,LD
0,0,65,21,0,LD
0,0,72,19,0,LD
0,0,16,12,1,LD
,,,,,LD
0,0,33,16,1,LD
0,0,18,49,1,LD
0,0,44,82,0,LD
0,0,8,24,1,LD
0,0,9,25,1,LD
0,0,66,52,0,LD
0,0,28,62,1,LD
0,0,20,28,1,LD
0,0,22,28,1,LD
0,0,16,13,1,LD
0,0,16,26,1,LD
0,0,26,57,1,LD
0,0,54,30,1,LD
0,0,60,83,0,LD
0,0,45,57,1,LD
0,0,9,33,1,LD
0,0,14,15,1,LD
0,0,50,65,1,LD
0,0,37,63,1,LD
0,0,31,64,1,LD
0,0,31,61,1,LD
0,0,29,68,1,LD
0,0,25,44,1,LD
0,0,9,28,0,LD
0,0,14,26,0,LD
0,0,16,35,1,LD
0,0,61,36,1,LD
0,0,26,11,1,LD
0,0,14,16,1,LD
0,0,9,20,1,LD
0,0,15,13,1,LD
0,0,45,48,0,LD
0,0,43,95,0,LD
0,0,20,25,1,LD
0,0,8,25,0,LD
0,0,8,26,1,LD
0,0,32,59,1,LD
0,0,21,27,0,LD
0,0,77,20,1,LD
0,0,12,32,1,LD
0,0,7,30,0,LD
0,0,11,42,1,LD
0,0,11,33,1,LD
0,0,13,71,0,LD
0,0,10,19,1,LD
0,0,16,21,1,LD
0,0,39,17,1,LD
0,0,44,42,0,LD
0,0,46,29,1,LD
0,0,11,16,1,LD
0,0,40,58,1,LD
0,0,33,48,1,LD
0,0,43,27,0,LD
0,0,11,33,1,LD
0,0,13,19,1,LD
0,0,13,27,0,LD
0,0,13,34,1,LD
0,0,37,7,1,LD
0,0,9,24,1,LD
0,0,6,75,1,LD
0,0,49,7,1,LD
0,0,15,35,1,LD
0,0,10,21,1,LD
0,0,11,25,1,LD
0,0,20,51,1,LD
0,0,18,10,1,LD
0,0,17,15,1,LD
0,0,30,56,0,LD
0,0,43,16,1,LD
0,0,14,62,1,LD
0,0,11,19,1,LD
0,0,12,20,1,LD
0,0,45,5,1,LD
0,0,10,19,1,LD
0,0,10,23,1,LD
0,0,16,19,1,LD
0,0,12,18,1,LD
0,0,26,13,1,LD
0,0,23,51,1,LD
0,0,14,60,1,LD
0,0,15,12,1,LD
0,0,12,35,1,LD
0,0,16,17,0,LD
0,0,13,23,1,LD
0,0,39,6,1,LD
0,0,49,27,1,LD
0,0,20,24,1,LD
0,0,24,25,1,LD
0,0,73,6,1,LD
0,0,34,59,1,LD
0,0,39,20,0,LD
0,0,18,13,1,LD
0,0,19,15,0,LD
0,0,14,37,1,LD
0,0,32,18,1,LD
0,0,18,19,1,LD
0,0,15,25,1,LD
0,0,9,21,1,LD
0,0,38,6,0,LD
0,0,15,42,0,LD
0,0,14,21,1,LD
0,0,14,22,1,LD
0,0,12,36,1,LD
0,0,10,22,1,LD
0,0,30,38,1,LD
0,0,13,19,1,LD
0,0,9,20,1,LD
0,0,22,34,1,LD
0,0,51,76,0,LD
0,0,22,37,1,LD
0,0,39,5,1,LD
0,0,70,91,0,LD
0,0,73,75,0,LD
0,0,24,17,1,LD
0,0,20,23,1,LD
0,0,7,26,1,LD
0,0,43,14,1,LD
0,0,39,28,1,LD
0,0,45,34,1,LD
0,0,30,35,1,LD
0,0,39,59,0,LD
0,0,36,12,1,LD
0,0,42,31,1,LD
0,0,18,39,1,LD
0,0,20,89,1,LD
0,0,8,46,0,LD
0,0,32,10,1,LD
0,0,12,15,1,LD
0,0,8,22,1,LD
0,0,16,13,1,LD
0,0,65,83,1,LD
0,0,36,6,0,LD
0,0,63,79,1,LD
0,0,24,19,1,LD
0,0,25,39,0,LD
0,0,13,20,1,LD
0,0,48,83,1,LD
0,0,65,90,1,LD
0,0,58,15,0,LD
0,0,32,46,1,LD
0,0,40,31,1,LD
0,0,47,63,1,LD
0,0,27,22,1,LD
0,0,16,13,1,LD
0,0,56,59,1,LD
0,0,33,49,1,LD
0,0,24,22,1,LD
0,0,11,46,1,LD
0,0,42,22,1,LD
0,0,33,48,0,LD
0,0,19,27,1,LD
0,0,11,21,1,LD
