density,target_class
22.171875,1
0.9140625,1
6.1171875,1
1.09375,1
4.2109375,1
1.78125,1
4.7578125,1
5.66015625,1
20.2890625,1
1.24609375,1
11.42578125,1
5.796875,1
1.0546875,1
0.796875,1
2.40625,1
15.01171875,1
1.3671875,1
7.7109375,1
4.18359375,1
5.44921875,1
1.484375,1
0.80859375,1
7.3828125,1
3.046875,1
1.33203125,1
4.125,1
11.4296875,1
1.265625,1
3.1875,1
3.71875,1
17.0625,1
6.5078125,1
2.96484375,1
2.45703125,1
6.42578125,1
2.37890625,1
11.3203125,1
2.7890625,1
6.21484375,1
1.8125,1
7.0390625,1
6.25,1
