curvature,strokewidth,density,x,y,w,h,distance,curvature_LogValue,strokewidth_LogValue,distance_LogValue,density_LogValue,class
0.130696374,27.65594782,48.2578125,122,0,38,57,1,-2.034878402,3.319840816,0,3.876557732,1
0.099418062,29.54852897,49.3203125,0,0,35,52,7,-2.308421472,3.386033962,1.945910149,3.898336014,1
0.321131602,31.91290026,70.3125,331,0,27,46,4,-1.135904265,3.463010325,1.386294361,4.252949592,1
0.153598297,25.94018659,45.3515625,91,0,34,53,1,-1.873414546,3.255793372,0,3.81444463,1
0.238662001,31.95417636,47.4375,94,0,32,45,1,-1.43270695,3.464302888,0,3.859413055,1
0.381161375,28.29483262,42.65625,130,0,36,59,6,-0.964532437,3.342679195,1.791759469,3.753173805,1
0.006603986,33.95010159,37.71875,37,0,35,67,1,-5.020081873,3.524891846,0,3.630157318,1
0.005987118,38.57405235,16.203125,0,0,20,55,6,-5.118145118,3.652579832,1.791759469,2.785204125,1
0.25361312,59.18460889,21.984375,36,0,29,84,0,-1.371945323,4.080661523,#NAME?,3.090331974,1
0.334758113,33.7692509,13.40625,35,0,29,47,5,-1.094347059,3.519550652,1.609437912,2.595721016,1
0.050248714,48.97523362,18.3515625,0,0,35,54,0,-2.990770324,3.891314734,#NAME?,2.909714721,1
0.079687301,39.48459326,91.65234375,15,0,38,43,36,-2.529645041,3.675910552,3.583518938,4.518002547,1
0.138089059,37.88054025,68.2265625,0,0,22,89,34,-1.979856447,3.63443753,3.526360525,4.222833968,1
0.345333361,32.7893676,61.7578125,123,0,23,50,12,-1.063245065,3.490104304,2.48490665,4.123220486,1
0.012484461,51.00790638,51.40625,107,0,45,51,19,-4.383270528,3.931980648,2.944438979,3.93975976,1
0.03981779,30.6479736,42.40625,0,0,23,59,0,-3.223441482,3.422566546,#NAME?,3.747295757,1
0.259662165,18.98301835,7.96875,0,0,26,37,3,-1.348373858,2.943544808,1.098612289,2.075527642,1
0.007236855,36.01321648,26.15625,27,0,26,67,5,-4.928568559,3.583885996,1.609437912,3.264088168,1
0.009141796,24.91315735,25.265625,24,0,35,38,4,-4.694898414,3.215396072,1.386294361,3.229444776,1
0.126883934,33.50705056,36.81640625,79,0,40,63,2,-2.064482516,3.511755881,0.693147181,3.605943568,1
0.005523488,23.32303748,28.65234375,105,0,7,43,2,-5.198745734,3.149441605,0.693147181,3.355235246,1
0.254987579,24.82837884,34.2109375,139,0,10,34,24,-1.366540445,3.211987307,3.17805383,3.532545403,1
