curvature,strokewidth,density,x,y,w,h,distance,class
0.237259269,49.14412457,80.56640625,67,56,12,5,12,1
0.44842406,41.09957707,10.91015625,217,55,31,44,50,1
0.182046151,33.08265042,58.7578125,196,55,11,8,14,1
0.164522392,41.87359722,274.9960938,237,15,25,35,1,1
0.499955041,31.91997011,14.16796875,19,15,17,38,4,1
0.000871295,44.38282355,97.625,51,12,19,40,3,1
0.107562754,26.6603319,26.15625,75,7,11,45,3,1
0.386059262,38.96653399,20.671875,224,1,13,49,1,1
0.002575658,50.3129203,66.0078125,120,0,82,52,3,1
0.205191849,36.68269986,20.98828125,104,5,83,85,42,1
0.007918543,41.96776189,24.578125,67,5,29,85,42,1
0.194324222,31.46908155,9.62890625,14,96,15,3,44,1
0.432365143,28.42380762,74.15625,144,95,12,15,55,1
0.370949955,28.72311561,28.640625,0,33,54,60,38,1
0.303939967,40.36066905,11.05078125,183,28,32,62,35,1
0.454667445,31.11197992,16.89453125,243,26,58,62,33,1
0.005211178,39.40525622,83.25,141,3,40,4,48,1
0.003833919,45.23328815,10.9609375,73,1,45,91,37,1
0.350752854,47.78966595,45.75,120,0,50,91,36,1
0.323769026,46.67046946,40.1015625,74,70,23,3,34,1
0.371593466,44.52680742,65.2890625,51,51,9,11,23,1
0.415999104,41.76607753,2.78515625,7,7,46,56,24,1
0.222560234,70.66205981,408.265625,126,6,93,68,35,1
0.25761466,33.35593695,48.46875,90,5,11,16,18,1
0.031595768,31.4424211,46.99609375,87,2,38,73,36,1
0.145675675,61.63084779,13.60546875,50,0,23,78,39,1
0.000683105,40.46318782,42.17578125,140,119,14,13,66,1
0.335587892,56.82582716,267.34375,155,114,18,18,66,1
0.417516871,36.46306276,805.84375,168,103,9,10,47,1
0.004182677,48.70547578,24.19921875,47,79,5,7,20,1
0.302215851,41.99513274,64.96875,140,73,8,10,17,1
0.339955025,28.41960554,14.609375,0,72,179,32,38,1
0.061182151,35.38782726,161.203125,98,66,5,25,25,1
0.003574066,52.70522095,30.73828125,49,66,4,6,6,1
0.005895743,31.71678449,355.078125,138,60,7,11,5,1
0.003066909,30.31412815,10.3125,167,50,9,21,5,1
0.164372492,45.43991816,124.21875,140,46,8,13,7,1
0.209998999,36.6216329,139.7421875,149,42,14,7,17,1
0.253741254,39.24702453,691.296875,45,26,9,33,7,1
0.008724352,36.23581669,19.390625,99,15,8,8,43,1
0.327176722,29.22146276,34.171875,46,15,6,9,42,1
0.401698341,40.00787212,20.32421875,44,9,8,4,53,1
0.314195119,41.80014538,144.3359375,0,0,23,8,58,1
0.326877555,49.32296996,25.6640625,170,67,8,20,34,1
0.240878308,28.07560867,38.71875,115,62,11,34,43,1
0.002673188,49.90274666,52.3359375,124,43,71,63,53,1
0.00637459,29.45431431,42.65625,175,42,22,41,30,1
0.10655324,28.90942564,29.0625,18,8,40,88,43,1
0.537871559,8.359883285,32.5078125,27,0,58,9,44,1
0.492634813,11.752529,23.03125,49,114,7,6,58,1
0.104718966,20.45594419,68.15234375,34,110,11,11,59,1
0.172487087,10.53908682,37.6953125,121,102,16,15,55,1
0.250378914,15.46562103,20.84375,73,102,20,13,53,1
0.264853117,15.3613301,19.125,31,102,6,7,47,1
0.287849124,23.51128234,6.6796875,0,102,5,13,53,1
0.374900666,12.97897656,36.90234375,189,101,34,24,63,1
0.144287455,25.50612193,255.109375,106,91,31,10,39,1
0.269220002,15.85196351,47.0390625,66,79,11,19,36,1
0.12785816,12.38115838,386.75,28,60,42,38,36,1
0.296600618,15.05990941,29.390625,187,51,26,47,36,1
0.012622546,42.73197481,50.25,0,32,6,66,36,1
0.300398197,20.36648412,45.09375,119,12,62,108,58,1
0.234406175,24.26095436,32.34375,0,12,5,19,31,1
0.022012649,42.35394864,30.46875,0,0,10,9,53,1
0.263922285,18.85629771,27.87890625,14,104,10,5,47,1
0.217609244,20.66626611,33.1875,60,103,26,7,48,1
0.259456353,12.07761645,11.05078125,120,102,15,6,46,1
0.046300993,23.8152283,69.86328125,201,101,40,24,63,1
0.252216176,18.83308886,13.9140625,154,101,12,5,44,1
0.128175948,17.18158913,18,436,97,8,6,41,1
0.319128616,17.69604331,20.71875,147,80,12,18,36,1
0.010821637,45.31220452,191.546875,429,38,24,56,32,1
0.459708439,12.84532115,32.265625,108,38,45,60,36,1
0.218732507,29.86991885,259.875,54,32,34,67,37,1
0.356293333,15.4974047,37.2890625,333,30,82,87,55,1
0.314301832,12.48519527,120.6835938,28,14,19,10,38,1
0.191873586,29.48031642,202.8046875,0,14,40,85,37,1
0.490630281,13.72727293,60.5234375,190,12,32,86,36,1
0.417497607,16.26762276,31.4765625,210,11,129,109,58,1
0.171102982,23.26302037,31.21875,336,5,29,3,54,1
