x,y,w,h,Distance Bottom,Distance Top,area,Target Class
123,30,13,73,19.0,11.0,329.5,LD
233,20,65,83,19.0,1.0,806.5,LD
315,19,16,84,19.0,0.0,587.5,LD
14,7,46,96,19.0,12.0,341.0,LD
511,136,12,6,64.0,72.0,28.0,LD
460,136,34,10,68.0,68.0,105.5,LD
428,136,7,7,65.0,71.0,22.0,LD
395,136,6,7,65.0,71.0,19.5,LD
323,135,26,9,66.0,69.0,90.0,LD
260,135,8,5,62.0,73.0,20.5,LD
190,135,28,10,67.0,68.0,98.0,LD
68,135,8,6,63.0,72.0,30.0,LD
0,135,35,11,68.0,67.0,101.0,LD
188,125,5,6,53.0,72.0,14.5,LD
425,109,7,23,54.0,55.0,58.5,LD
315,82,27,50,54.0,28.0,449.0,LD
76,78,78,53,53.0,25.0,560.0,LD
451,72,62,60,54.0,18.0,798.5,LD
57,71,22,60,53.0,18.0,327.5,LD
256,69,43,63,54.0,15.0,553.5,LD
426,57,3,51,30.0,27.0,22.5,LD
29,47,12,84,53.0,6.0,339.0,LD
182,36,50,95,53.0,17.0,530.5,LD
384,7,16,125,54.0,47.0,598.0,LD
416,2,4,30,46.0,48.0,39.0,LD
310,99,23,4,45.0,54.0,44.5,LD
256,98,10,6,46.0,52.0,33.0,LD
54,97,7,10,49.0,48.0,38.0,LD
336,77,14,17,36.0,41.0,50.0,LD
208,76,29,25,43.0,33.0,221.0,LD
109,75,8,18,35.0,40.0,62.5,LD
0,58,25,3,3.0,55.0,33.0,LD
108,57,6,17,16.0,41.0,53.5,LD
242,47,20,47,36.0,11.0,142.5,LD
336,44,8,25,11.0,33.0,35.0,LD
218,44,10,30,16.0,28.0,155.0,LD
44,43,20,51,36.0,7.0,306.5,LD
153,40,36,53,35.0,5.0,842.0,LD
28,32,8,8,18.0,50.0,16.5,LD
63,30,30,44,16.0,14.0,176.0,LD
297,19,36,75,36.0,17.0,237.0,LD
112,16,8,21,21.0,37.0,90.5,LD
0,10,28,24,24.0,34.0,98.0,LD
623,83,5,5,32.0,51.0,13.5,LD
587,82,11,11,37.0,45.0,60.0,LD
541,81,31,22,47.0,34.0,134.5,LD
520,81,6,5,30.0,51.0,14.5,LD
295,79,10,6,29.0,50.0,24.0,LD
241,78,11,3,25.0,53.0,11.0,LD
189,78,28,14,36.0,42.0,58.0,LD
180,78,10,7,29.0,49.0,29.0,LD
116,78,19,3,25.0,53.0,18.0,LD
58,77,25,4,25.0,52.0,33.5,LD
86,70,17,3,17.0,53.0,17.5,LD
289,69,7,6,19.0,50.0,20.0,LD
216,68,4,7,19.0,49.0,11.5,LD
173,68,13,7,19.0,49.0,20.5,LD
46,66,12,7,17.0,49.0,20.5,LD
284,58,7,9,11.0,47.0,19.0,LD
217,57,4,9,10.0,47.0,19.0,LD
173,57,5,9,10.0,47.0,22.0,LD
227,56,18,19,19.0,37.0,49.5,LD
142,56,4,14,14.0,42.0,22.0,LD
104,55,9,18,17.0,38.0,29.5,LD
581,43,16,35,22.0,21.0,171.5,LD
596,35,33,44,23.0,12.0,190.0,LD
531,32,33,46,22.0,10.0,359.5,LD
416,31,108,58,33.0,2.0,1346.5,LD
218,24,10,31,1.0,25.0,107.0,LD
172,20,41,34,2.0,22.0,152.0,LD
283,17,38,37,2.0,19.0,135.5,LD
103,13,43,41,2.0,15.0,246.5,LD
37,11,5,20,25.0,36.0,15.5,LD
351,0,49,72,16.0,16.0,460.5,LD
94,0,8,5,51.0,51.0,15.0,LD
43,0,25,11,45.0,45.0,51.0,LD
121,0,16,19,4.0,4.0,179.0,LD
105,0,10,13,2.0,2.0,24.0,LD
71,0,3,9,6.0,6.0,12.5,LD
40,0,13,13,2.0,2.0,25.0,LD
18,0,10,13,2.0,2.0,26.5,LD
51,0,11,12,2.0,2.0,50.5,LD
29,0,19,17,3.0,3.0,35.5,LD
10,0,13,19,5.0,5.0,41.5,LD
119,0,17,25,6.0,6.0,48.0,LD
90,0,19,20,1.0,1.0,55.0,LD
72,0,3,14,5.0,5.0,12.0,LD
61,0,4,13,6.0,6.0,21.0,LD
29,0,18,24,5.0,5.0,39.0,LD
0,0,7,28,9.0,9.0,42.5,LD
73,3,14,19,0.0,3.0,50.5,LD
37,0,22,18,4.0,4.0,41.0,LD
0,0,27,16,6.0,6.0,42.5,LD
90,12,34,20,10.0,2.0,93.5,LD
65,4,21,30,12.0,8.0,62.0,LD
35,0,17,28,6.0,6.0,64.5,LD
18,0,14,17,5.0,5.0,42.0,LD
0,0,4,16,6.0,6.0,14.0,LD
76,0,5,28,9.0,9.0,28.5,LD
43,0,14,27,8.0,8.0,52.0,LD
16,0,16,19,0.0,0.0,51.0,LD
46,2,24,21,7.0,5.0,81.5,LD
15,0,19,21,5.0,5.0,75.0,LD
30,1,20,18,3.0,2.0,58.0,LD
9,0,15,22,6.0,6.0,44.0,LD
1,0,14,10,1.0,1.0,24.0,LD
88,0,15,12,0.0,0.0,27.0,LD
59,0,13,10,2.0,2.0,19.5,LD
38,0,13,15,3.0,3.0,18.0,LD
3,0,18,14,2.0,2.0,39.5,LD
